,SEX,DESIGNATION,AGE,SALARY,UNIT,LEAVES USED,RATINGS,PAST EXP,YEARS
0,0,Analyst,21,44570,Finance,24,2,0,1.639972621
1,0,Associate,30,89207,Web,17,3,7,3.022587269
2,0,Analyst,21,40955,Finance,23,3,0,1.445585216
3,0,Analyst,22,45550,IT,22,3,0,2.762491444
4,1,Analyst,23,43161,Operations,27,3,3,1.130732375
5,0,Analyst,22,48736,Marketing,20,4,0,2.880219028
6,1,Analyst,22,40339,Marketing,19,5,0,2.346338125
7,1,Analyst,23,40058,Marketing,29,2,2,2.088980151
8,0,Senior Analyst,28,63478,Operations,20,3,1,1.524982888
9,0,Analyst,22,43110,Finance,15,3,0,1.155373032
10,0,Analyst,24,41590,Marketing,22,4,1,1.828884326
11,1,Senior Manager,36,160613,Finance,19,2,9,5.930184805
12,1,Analyst,24,44828,Finance,15,5,1,2.43394935
13,1,Analyst,21,45830,Web,23,2,0,2.795345654
14,1,Analyst,24,43457,Management,30,4,1,2.447638604
15,0,Analyst,21,44812,IT,16,5,0,1.401779603
16,1,Analyst,25,47636,Finance,27,3,2,2.308008214
17,1,Analyst,24,48651,Web,27,5,1,1.585215606
18,1,Analyst,23,40411,Management,21,3,0,2.924024641
19,1,Analyst,24,44665,Web,18,5,0,2.513347023
20,1,Analyst,25,46941,Marketing,23,3,1,2.54072553
21,1,Analyst,22,47734,Marketing,28,5,0,2.239561944
22,0,Analyst,23,40541,Operations,15,5,1,1.492128679
23,0,Analyst,25,43920,Web,28,2,2,2.097193703
24,1,Analyst,21,45832,Management,28,2,0,2.902121834
25,0,Analyst,23,48102,Marketing,17,2,0,1.957563313
26,1,Analyst,21,48662,Management,30,5,0,1.333333333
27,1,Analyst,25,49685,Operations,15,2,1,2.891170431
28,1,Senior Analyst,25,57488,Operations,25,3,0,1.045859001
29,0,Analyst,21,45410,Marketing,29,2,0,2.819986311
30,1,Analyst,21,43030,Management,22,5,0,2.669404517
31,0,Analyst,22,42388,Management,30,5,0,1.166324435
32,1,Senior Analyst,26,68295,Operations,28,5,3,1.629021218
33,0,Associate,29,73397,Web,30,5,2,4.421629021
34,0,Analyst,22,47008,Management,27,2,0,2.058863792
35,1,Analyst,23,49898,Marketing,19,5,1,1.440109514
36,0,Analyst,23,45389,Management,27,2,1,1.056810404
37,1,Analyst,22,49326,Web,29,3,0,2.787132101
38,0,Analyst,24,49901,Web,24,4,0,2.882956879
39,1,Analyst,24,42529,IT,23,2,2,1.136208077
40,0,Analyst,25,44448,Finance,25,5,2,1.793292266
41,0,Senior Manager,39,175497,Marketing,30,4,13,4.366872005
42,0,Analyst,25,47739,IT,21,4,2,1.519507187
43,0,Analyst,25,49046,Web,25,4,2,1.932922656
44,1,Analyst,25,47961,Operations,20,3,2,1.771389459
45,0,Associate,29,96378,Operations,23,2,5,1.700205339
46,1,Associate,32,76411,IT,16,4,9,0.999315537
47,0,Analyst,23,40264,Web,24,2,0,2.628336756
48,1,Analyst,22,45364,Web,20,2,0,1.861738535
49,1,Analyst,22,42013,Web,27,4,0,2.507871321
50,1,Analyst,25,42362,Marketing,24,5,2,2.461327858
51,0,Analyst,25,44620,Finance,26,5,2,2.135523614
52,0,Analyst,23,43285,Operations,23,5,1,1.368925394
53,0,Senior Analyst,28,66338,Web,24,3,5,1.744010951
54,0,Analyst,25,46436,IT,27,4,2,2.425735797
55,0,Analyst,24,49705,Management,28,3,0,2.718685832
56,1,Analyst,21,40095,Management,19,3,0,1.782340862
57,0,Senior Analyst,28,61647,Finance,28,4,3,1.067761807
58,0,Analyst,21,42811,Marketing,22,3,0,1.3908282
59,0,Analyst,25,47365,Finance,15,2,2,2.034223135
60,1,Analyst,22,45721,Operations,18,5,0,2.381930185
61,1,Analyst,25,49976,Web,25,2,1,2.507871321
62,1,Analyst,21,42650,Marketing,21,2,0,2.718685832
63,1,Analyst,25,44632,Management,27,3,3,0.969199179
64,1,Analyst,25,48389,Operations,15,3,3,1.445585216
65,1,Analyst,21,48665,Operations,18,2,0,2.209445585
66,1,Associate,31,72886,Management,21,4,6,2.757015743
67,0,Analyst,21,45225,IT,28,5,0,1.582477755
68,1,Senior Analyst,25,60712,Finance,26,4,0,2.559890486
69,1,Analyst,24,41290,Operations,17,3,1,2.250513347
70,0,Analyst,21,44993,IT,18,2,0,1.645448323
71,0,Analyst,24,46118,IT,22,4,1,2.379192334
72,0,Senior Analyst,25,65212,Management,29,5,1,3.370294319
73,0,Senior Manager,38,193621,Operations,19,4,9,4.049281314
74,0,Analyst,23,44223,Marketing,19,2,0,2.116358658
75,0,Senior Analyst,27,53339,Finance,26,2,1,2.236824093
76,0,Analyst,24,43638,Web,29,3,1,1.503080082
77,1,Analyst,22,44963,Marketing,21,2,0,2.595482546
78,0,Analyst,21,42686,Marketing,22,3,0,1.686516085
79,0,Analyst,21,40381,Web,22,2,0,1.349760438
80,0,Analyst,21,48461,Finance,15,5,0,2.683093771
81,0,Analyst,25,46584,Marketing,18,4,1,2.891170431
82,1,Senior Analyst,25,50739,IT,25,3,0,1.607118412
83,1,Associate,31,82083,Management,17,3,5,1.445585216
84,0,Analyst,23,40324,Operations,27,2,1,1.04312115
85,1,Analyst,23,44001,Management,26,3,1,1.130732375
86,0,Analyst,22,43059,Management,30,3,0,2.390143737
87,0,Analyst,24,41685,Finance,30,2,2,1.284052019
88,1,Associate,28,95982,Operations,26,4,0,3.82477755
89,0,Analyst,23,44699,Management,26,3,0,2.557152635
90,0,Senior Analyst,28,52690,Marketing,30,5,3,2.417522245
91,0,Analyst,21,40041,Management,18,4,0,1.891854894
92,0,Senior Analyst,28,56314,Finance,16,5,3,1.180013689
93,1,Analyst,25,49785,Operations,26,3,2,1.889117043
94,0,Analyst,24,41284,Web,29,5,1,2.127310062
95,0,Analyst,22,40562,Finance,26,5,0,1.637234771
96,1,Analyst,22,46741,Operations,30,2,0,2.43394935
97,1,Analyst,24,45100,Operations,28,2,1,1.900068446
98,1,Analyst,22,41712,IT,23,5,0,1.311430527
99,0,Analyst,24,47069,Operations,20,4,1,1.642710472
100,1,Analyst,25,40460,Web,28,3,1,2.718685832
101,1,Analyst,24,47068,Finance,28,4,0,2.861054073
102,0,Senior Analyst,25,50813,Marketing,26,2,0,2.269678303
103,1,Manager,33,129191,Operations,22,4,3,5.711156742
104,0,Senior Analyst,28,66338,Web,24,3,5,1.744010951
105,1,Analyst,24,46749,Operations,28,5,2,1.051334702
106,0,Manager,33,108665,Finance,15,2,6,4.229979466
107,0,Associate,32,76964,Management,23,5,5,3.085557837
108,1,Analyst,24,47417,Marketing,21,3,1,2.05065024
109,1,Analyst,21,47669,IT,25,5,0,1.727583847
110,0,Analyst,21,40318,Finance,20,3,0,1.560574949
111,1,Analyst,23,46743,IT,17,2,0,2.349075975
