,SEX,DESIGNATION,AGE,SALARY,UNIT,LEAVES USED,RATINGS,PAST EXP,YEARS
0,0,Analyst,21.0,44570,Finance,24.0,2.0,0,1.6399726214921286
1,0,Associate,30.0,89207,Web,17.0,3.0,7,3.02258726899384
2,0,Analyst,21.0,40955,Finance,23.0,3.0,0,1.4455852156057496
3,0,Analyst,22.0,45550,IT,22.0,3.0,0,2.7624914442162902
4,1,Analyst,23.0,43161,Operations,27.0,3.0,3,1.1307323750855578
5,0,Analyst,22.0,48736,Marketing,20.0,4.0,0,2.8802190280629705
6,1,Analyst,22.0,40339,Marketing,19.0,5.0,0,2.346338124572211
7,1,Analyst,23.0,40058,Marketing,29.0,2.0,2,2.088980150581793
8,0,Senior Analyst,28.0,63478,Operations,20.0,3.0,1,1.5249828884325805
9,0,Analyst,22.0,43110,Finance,15.0,3.0,0,1.1553730321697468
10,0,Analyst,24.0,41590,Marketing,22.0,4.0,1,1.8288843258042438
11,1,Senior Manager,36.0,160613,Finance,19.0,2.0,9,5.930184804928132
12,1,Analyst,24.0,44828,Finance,15.0,5.0,1,2.433949349760438
13,1,Analyst,21.0,45830,Web,23.0,2.0,0,2.7953456536618755
14,1,Analyst,24.0,43457,Management,30.0,4.0,1,2.4476386036960984
15,0,Analyst,21.0,44812,IT,16.0,5.0,0,1.4017796030116358
16,1,Analyst,25.0,47636,Finance,27.0,3.0,2,2.308008213552361
17,1,Analyst,24.0,48651,Web,27.0,5.0,1,1.5852156057494866
18,1,Analyst,23.0,40411,Management,21.0,3.0,0,2.924024640657084
19,1,Analyst,24.0,44665,Web,18.0,5.0,0,2.513347022587269
20,1,Analyst,25.0,46941,Marketing,23.0,3.0,1,2.54072553045859
21,1,Analyst,22.0,47734,Marketing,28.0,5.0,0,2.239561943874059
22,0,Analyst,23.0,40541,Operations,15.0,5.0,1,1.4921286789869952
23,0,Analyst,25.0,43920,Web,28.0,2.0,2,2.0971937029431897
24,1,Analyst,21.0,45832,Management,28.0,2.0,0,2.9021218343600275
25,0,Analyst,23.0,48102,Marketing,17.0,2.0,0,1.9575633127994525
26,1,Analyst,21.0,48662,Management,30.0,5.0,0,1.3333333333333333
27,1,Analyst,25.0,49685,Operations,15.0,2.0,1,2.891170431211499
28,1,Senior Analyst,25.0,57488,Operations,25.0,3.0,0,1.0458590006844628
29,0,Analyst,21.0,45410,Marketing,29.0,2.0,0,2.8199863107460645
30,1,Analyst,21.0,43030,Management,22.0,5.0,0,2.6694045174537986
31,0,Analyst,22.0,42388,Management,30.0,5.0,0,1.1663244353182751
32,1,Senior Analyst,26.0,68295,Operations,28.0,5.0,3,1.6290212183436004
33,0,Associate,29.0,73397,Web,30.0,5.0,2,4.421629021218344
34,0,Analyst,22.0,47008,Management,27.0,2.0,0,2.0588637919233403
35,1,Analyst,23.0,49898,Marketing,19.0,5.0,1,1.4401095140314852
36,0,Analyst,23.0,45389,Management,27.0,2.0,1,1.056810403832991
37,1,Analyst,22.0,49326,Web,29.0,3.0,0,2.7871321013004793
38,0,Analyst,24.0,49901,Web,24.0,4.0,0,2.8829568788501025
39,1,Analyst,24.0,42529,IT,23.0,2.0,2,1.136208076659822
40,0,Analyst,25.0,44448,Finance,25.0,5.0,2,1.7932922655715264
41,0,Senior Manager,39.0,175497,Marketing,30.0,4.0,13,4.3668720054757015
42,0,Analyst,25.0,47739,IT,21.0,4.0,2,1.5195071868583163
43,0,Analyst,25.0,49046,Web,25.0,4.0,2,1.9329226557152634
44,1,Analyst,25.0,47961,Operations,20.0,3.0,2,1.7713894592744694
45,0,Associate,29.0,96378,Operations,23.0,2.0,5,1.700205338809035
46,1,Associate,32.0,76411,IT,16.0,4.0,9,0.999315537303217
47,0,Analyst,23.0,40264,Web,24.0,2.0,0,2.628336755646817
48,1,Analyst,22.0,45364,Web,20.0,2.0,0,1.8617385352498288
49,1,Analyst,22.0,42013,Web,27.0,4.0,0,2.507871321013005
50,1,Analyst,25.0,42362,Marketing,24.0,5.0,2,2.461327857631759
51,0,Analyst,25.0,44620,Finance,26.0,5.0,2,2.135523613963039
52,0,Analyst,23.0,43285,Operations,23.0,5.0,1,1.3689253935660506
53,0,Senior Analyst,28.0,66338,Web,24.0,3.0,5,1.7440109514031485
54,0,Analyst,25.0,46436,IT,27.0,4.0,2,2.425735797399042
